t,x,y
21.411895,9.527883,0.969481
21.445247,9.539795,0.951266
21.478599,9.554377,0.927461
21.511951,9.565947,0.914770
21.545303,9.576851,0.921111
21.578655,9.590795,0.939877
21.612007,9.605951,0.963684
21.645359,9.623134,0.983282
21.678710,9.641101,0.991863
21.712062,9.657793,0.988973
21.745414,9.672144,0.975691
21.778766,9.684620,0.955996
21.812118,9.699710,0.930709
21.845470,9.711766,0.911042
21.878822,9.721538,0.911752
21.912173,9.733802,0.927183
21.945525,9.748254,0.951002
21.978877,9.764126,0.972362
22.012229,9.781439,0.983120
22.045581,9.797850,0.982471
22.078933,9.811757,0.971643
22.112285,9.823141,0.954521
22.145636,9.837440,0.931540
22.178988,9.848653,0.913042
22.212340,9.858880,0.916096
22.245692,9.872401,0.933823
22.279044,9.887664,0.958651
22.312396,9.904909,0.980489
22.345748,9.922970,0.991440
22.379099,9.939985,0.990946
22.412451,9.955052,0.979464
22.445803,9.967891,0.960799
22.479155,9.983041,0.936127
22.512507,9.996705,0.918826
22.545859,10.007572,0.923058
22.579211,10.020650,0.940955
22.612563,10.036048,0.962935
22.645914,10.053352,0.979356
22.679266,10.071028,0.984685
22.712618,10.087317,0.978515
22.745970,10.100780,0.963039
22.779322,10.113429,0.941357
22.812674,10.128875,0.917184
22.846026,10.140602,0.909610
22.879377,10.152293,0.918340
22.912729,10.166970,0.937572
22.946081,10.182172,0.960251
22.979433,10.198349,0.977585
23.012785,10.215131,0.983887
23.046137,10.231039,0.978795
23.079489,10.244928,0.963187
23.112840,10.257721,0.941320
23.146192,10.273376,0.915994
23.179544,10.285871,0.910126
23.212896,10.297848,0.921604
23.246248,10.313778,0.944060
23.279600,10.330353,0.966801
23.312952,10.347301,0.980816
23.346304,10.364380,0.983622
23.379655,10.380665,0.975102
23.413007,10.395286,0.955896
23.446359,10.409794,0.930748
23.479711,10.426825,0.913425
23.513063,10.440193,0.919559
23.546415,10.455606,0.938721
23.579767,10.472368,0.961686
23.613118,10.489673,0.979186
23.646470,10.507322,0.985660
23.679822,10.524365,0.980781
23.713174,10.540028,0.964634
23.746526,10.555922,0.940943
23.779878,10.572058,0.918101
23.813230,10.585312,0.918649
23.846581,10.600184,0.936390
23.879933,10.617579,0.962123
23.913285,10.636725,0.985437
23.946637,10.656580,0.998004
23.979989,10.675698,0.999131
24.013341,10.693272,0.988822
24.046693,10.709094,0.968712
24.080044,10.725770,0.942126
24.113396,10.743654,0.921772
24.146748,10.756310,0.924561
24.180100,10.769901,0.939949
24.213452,10.784819,0.958690
24.246804,10.801593,0.971604
24.280156,10.818531,0.973432
24.313508,10.834281,0.963887
24.346859,10.847787,0.946026
24.380211,10.861931,0.923125
24.413563,10.874794,0.911120
24.446915,10.887556,0.919595
