t,x,y
29.016120,32.204375,0.913419
29.049472,32.241504,0.906004
29.082824,32.277711,0.898244
29.116176,32.313594,0.890338
29.149528,32.351375,0.883947
29.182879,32.394845,0.879774
29.216231,32.443124,0.886386
29.249583,32.494903,0.898272
29.282935,32.540450,0.911762
29.316287,32.578002,0.921334
29.349639,32.610939,0.924133
29.382991,32.643147,0.920638
29.416342,32.676687,0.919439
29.449694,32.711280,0.922555
29.483046,32.746466,0.921209
29.516398,32.785008,0.916476
29.549750,32.815126,0.908233
29.583102,32.840927,0.896323
29.616454,32.869649,0.887617
29.649805,32.904095,0.880398
29.683157,32.944127,0.872528
29.716509,32.983394,0.873023
29.749861,33.025183,0.883996
29.783213,33.075269,0.896399
29.816565,33.131366,0.905460
29.849917,33.173789,0.912339
29.883268,33.204012,0.919075
29.916620,33.236364,0.922581
29.949972,33.267280,0.923783
29.983324,33.298110,0.923286
30.016676,33.332562,0.924601
30.050028,33.365243,0.922248
30.083380,33.397925,0.917853
30.116732,33.434330,0.912217
30.150083,33.473184,0.905247
30.183435,33.507906,0.897595
30.216787,33.543502,0.889629
30.250139,33.582653,0.882453
30.283491,33.627512,0.878336
30.316843,33.676652,0.886211
30.350195,33.730081,0.898182
30.383546,33.778330,0.911646
30.416898,33.816772,0.922744
30.450250,33.850530,0.926373
30.483602,33.883549,0.922704
30.516954,33.917981,0.921393
30.550306,33.954023,0.924413
30.583658,33.990042,0.921692
30.617009,34.028942,0.916755
30.650361,34.058717,0.910124
30.683713,34.085378,0.900759
30.717065,34.114441,0.889777
30.750417,34.148428,0.879044
30.783769,34.188011,0.869674
30.817121,34.227202,0.868007
30.850472,34.268736,0.877095
30.883824,34.316953,0.891904
30.917176,34.371495,0.904377
30.950528,34.415596,0.913559
30.983880,34.446405,0.919450
31.017232,34.475124,0.922870
